"location","activity","date","change","value","source","roll"
"Greater London","Retail & Rec",2020-05-17,-77,23,"Google",60.2857142857143
"Greater London","Parks",2020-05-17,40,140,"Google",76.7142857142857
"Greater London","Retail & Rec",2020-05-18,-70,30,"Google",65.5714285714286
"Greater London","Parks",2020-05-18,60,160,"Google",84.8571428571429
"Greater London","Retail & Rec",2020-05-19,-71,29,"Google",71.7142857142857
"Greater London","Parks",2020-05-19,64,164,"Google",92
"Greater London","Retail & Rec",2020-05-20,-72,28,"Google",82
"Greater London","Parks",2020-05-20,75,175,"Google",103.714285714286
"Greater London","Retail & Rec",2020-05-21,-72,28,"Google",87.7142857142857
"Greater London","Parks",2020-05-21,54,154,"Google",105.428571428571
"Greater London","Retail & Rec",2020-05-22,-73,27,"Google",86.4285714285714
"Greater London","Parks",2020-05-22,25,125,"Google",100.142857142857
"Greater London","Retail & Rec",2020-05-23,-76,24,"Google",80.1428571428571
"Greater London","Parks",2020-05-23,-10,90,"Google",89
"Greater London","Retail & Rec",2020-05-24,-74,26,"Google",67.7142857142857
"Greater London","Parks",2020-05-24,47,147,"Google",84.7142857142857
"Greater London","Retail & Rec",2020-05-25,-70,30,"Google",67
"Greater London","Parks",2020-05-25,160,260,"Google",100.285714285714
"Greater London","Retail & Rec",2020-05-26,-70,30,"Google",86.7142857142857
"Greater London","Parks",2020-05-26,57,157,"Google",105.714285714286
"Greater London","Retail & Rec",2020-05-27,-71,29,"Google",97
"Greater London","Parks",2020-05-27,54,154,"Google",115.285714285714
"Greater London","Retail & Rec",2020-05-28,-70,30,"Google",98.5714285714286
"Greater London","Parks",2020-05-28,66,166,"Google",118
"Greater London","Retail & Rec",2020-05-29,-71,29,"Google",85
"Greater London","Parks",2020-05-29,61,161,"Google",103.714285714286
"Greater London","Retail & Rec",2020-05-30,-74,26,"Google",85
"Greater London","Parks",2020-05-30,48,148,"Google",102
"Greater London","Retail & Rec",2020-05-31,-73,27,"Google",83.8571428571429
"Greater London","Parks",2020-05-31,68,168,"Google",103.571428571429
"Greater London","Retail & Rec",2020-06-01,-65,35,"Google",84.8571428571429
"Greater London","Parks",2020-06-01,75,175,"Google",105.714285714286
"Greater London","Retail & Rec",2020-06-02,-68,32,"Google",87.2857142857143
"Greater London","Parks",2020-06-02,70,170,"Google",107.857142857143
"Greater London","Retail & Rec",2020-06-03,-71,29,"Google",90.8571428571429
"Greater London","Parks",2020-06-03,1,101,"Google",101.428571428571
"Greater London","Retail & Rec",2020-06-04,-70,30,"Google",81.7142857142857
"Greater London","Parks",2020-06-04,7,107,"Google",92
"Greater London","Retail & Rec",2020-06-05,-71,29,"Google",71.1428571428571
"Greater London","Parks",2020-06-05,-3,97,"Google",80.4285714285714
"Greater London","Retail & Rec",2020-06-06,-75,25,"Google",59.7142857142857
"Greater London","Parks",2020-06-06,-36,64,"Google",64.7142857142857
"Greater London","Retail & Rec",2020-06-07,-72,28,"Google",54.2857142857143
"Greater London","Parks",2020-06-07,11,111,"Google",65.8571428571429
"Greater London","Retail & Rec",2020-06-08,-65,35,"Google",55.5714285714286
"Greater London","Parks",2020-06-08,33,133,"Google",70.4285714285714
"Greater London","Retail & Rec",2020-06-09,-67,33,"Google",61.2857142857143
"Greater London","Parks",2020-06-09,48,148,"Google",78.8571428571429
"Greater London","Retail & Rec",2020-06-10,-71,29,"Google",73.8571428571429
"Greater London","Parks",2020-06-10,-21,79,"Google",81.1428571428571
"Greater London","Retail & Rec",2020-06-11,-68,32,"Google",69.8571428571429
"Greater London","Parks",2020-06-11,7,107,"Google",80.1428571428571
"Greater London","Retail & Rec",2020-06-12,-69,31,"Google",65.5714285714286
"Greater London","Parks",2020-06-12,1,101,"Google",75.2857142857143
"Greater London","Retail & Rec",2020-06-13,-69,31,"Google",58.5714285714286
"Greater London","Parks",2020-06-13,54,154,"Google",76.4285714285714
"Greater London","Retail & Rec",2020-06-14,-68,32,"Google",69.7142857142857
"Greater London","Parks",2020-06-14,71,171,"Google",89.5714285714286
"Greater London","Retail & Rec",2020-06-15,-55,45,"Google",80.7142857142857
"Greater London","Parks",2020-06-15,58,158,"Google",98.8571428571429
"Greater London","Retail & Rec",2020-06-16,-59,41,"Google",90.2857142857143
"Greater London","Parks",2020-06-16,53,153,"Google",107.714285714286
"Greater London","Retail & Rec",2020-06-17,-63,37,"Google",91
"Greater London","Parks",2020-06-17,17,117,"Google",103.142857142857
"Greater London","Retail & Rec",2020-06-18,-63,37,"Google",84
"Greater London","Parks",2020-06-18,10,110,"Google",93.2857142857143
"Greater London","Retail & Rec",2020-06-19,-62,38,"Google",76.1428571428571
"Greater London","Parks",2020-06-19,19,119,"Google",87.2857142857143
"Greater London","Retail & Rec",2020-06-20,-63,37,"Google",70.7142857142857
"Greater London","Parks",2020-06-20,43,143,"Google",85.8571428571429
"Greater London","Retail & Rec",2020-06-21,-63,37,"Google",74.4285714285714
"Greater London","Parks",2020-06-21,39,139,"Google",89
"Greater London","Retail & Rec",2020-06-22,-54,46,"Google",79.8571428571429
"Greater London","Parks",2020-06-22,97,197,"Google",102.571428571429
"Greater London","Retail & Rec",2020-06-23,-58,42,"Google",91.5714285714286
"Greater London","Parks",2020-06-23,90,190,"Google",113.428571428571
"Greater London","Retail & Rec",2020-06-24,-60,40,"Google",98.7142857142857
"Greater London","Parks",2020-06-24,89,189,"Google",120.428571428571
"Greater London","Retail & Rec",2020-06-25,-60,40,"Google",106.285714285714
"Greater London","Parks",2020-06-25,88,188,"Google",126.571428571429
"Greater London","Retail & Rec",2020-06-26,-61,39,"Google",104
"Greater London","Parks",2020-06-26,57,157,"Google",120.428571428571
"Greater London","Retail & Rec",2020-06-27,-65,35,"Google",98.2857142857143
"Greater London","Parks",2020-06-27,-8,92,"Google",105.714285714286
"Greater London","Retail & Rec",2020-06-28,-62,38,"Google",84.1428571428571
"Greater London","Parks",2020-06-28,26,126,"Google",96.4285714285714
"Greater London","Retail & Rec",2020-06-29,-55,45,"Google",76
"Greater London","Parks",2020-06-29,34,134,"Google",89.5714285714286
"Greater London","Retail & Rec",2020-06-30,-58,42,"Google",73.1428571428571
"Greater London","Parks",2020-06-30,12,112,"Google",84.1428571428571
"Greater London","Retail & Rec",2020-07-01,-58,42,"Google",77
"Greater London","Parks",2020-07-01,24,124,"Google",89.2857142857143
"Greater London","Retail & Rec",2020-07-02,-58,42,"Google",77.2857142857143
"Greater London","Parks",2020-07-02,16,116,"Google",87.4285714285714
"Greater London","Retail & Rec",2020-07-03,-58,42,"Google",74.2857142857143
"Greater London","Parks",2020-07-03,35,135,"Google",87.5714285714286
"Greater London","Retail & Rec",2020-07-04,-57,43,"Google",77.7142857142857
"Greater London","Parks",2020-07-04,0,100,"Google",86
"Greater London","Retail & Rec",2020-07-05,-52,48,"Google",75.1428571428571
"Greater London","Parks",2020-07-05,59,159,"Google",91.8571428571429
"Greater London","Retail & Rec",2020-07-06,-48,52,"Google",82.7142857142857
"Greater London","Parks",2020-07-06,53,153,"Google",98.5714285714286
"Greater London","Retail & Rec",2020-07-07,-52,48,"Google",86.1428571428571
"Greater London","Parks",2020-07-07,32,132,"Google",98.8571428571429
"Greater London","Retail & Rec",2020-07-08,-55,45,"Google",91
"Greater London","Parks",2020-07-08,-5,95,"Google",97.7142857142857
"Greater London","Retail & Rec",2020-07-09,-54,46,"Google",81.5714285714286
"Greater London","Parks",2020-07-09,5,105,"Google",89.1428571428571
"Greater London","Retail & Rec",2020-07-10,-52,48,"Google",74.1428571428571
"Greater London","Parks",2020-07-10,36,136,"Google",86.7142857142857
"Greater London","Retail & Rec",2020-07-11,-54,46,"Google",74.4285714285714
"Greater London","Parks",2020-07-11,36,136,"Google",87.4285714285714
"Greater London","Retail & Rec",2020-07-12,-51,49,"Google",80.8571428571429
"Greater London","Parks",2020-07-12,72,172,"Google",98.8571428571429
"Greater London","Retail & Rec",2020-07-13,-47,53,"Google",91.4285714285714
"Greater London","Parks",2020-07-13,65,165,"Google",108.142857142857
"Greater London","Retail & Rec",2020-07-14,-49,51,"Google",96
"Greater London","Parks",2020-07-14,40,140,"Google",109.428571428571
"Greater London","Retail & Rec",2020-07-15,-48,52,"Google",97.4285714285714
"Greater London","Parks",2020-07-15,28,128,"Google",108.714285714286
"Greater London","Retail & Rec",2020-07-16,-46,54,"Google",91.8571428571429
"Greater London","Parks",2020-07-16,48,148,"Google",105.428571428571
"Greater London","Retail & Rec",2020-07-17,-46,54,"Google",89.5714285714286
"Greater London","Parks",2020-07-17,71,171,"Google",106.714285714286
"Greater London","Retail & Rec",2020-07-18,-50,50,"Google",93.8571428571429
"Greater London","Parks",2020-07-18,45,145,"Google",107.142857142857
"Greater London","Retail & Rec",2020-07-19,-49,51,"Google",96.1428571428571
"Greater London","Parks",2020-07-19,13,113,"Google",104.571428571429
"Greater London","Retail & Rec",2020-07-20,-40,60,"Google",92
"Greater London","Parks",2020-07-20,89,189,"Google",111.285714285714
"Greater London","Retail & Rec",2020-07-21,-44,56,"Google",94.8571428571429
"Greater London","Parks",2020-07-21,67,167,"Google",111.571428571429
"Greater London","Retail & Rec",2020-07-22,-45,55,"Google",98.7142857142857
"Greater London","Parks",2020-07-22,66,166,"Google",115.142857142857
"Greater London","Retail & Rec",2020-07-23,-45,55,"Google",106.857142857143
"Greater London","Parks",2020-07-23,56,156,"Google",120.571428571429
"Greater London","Retail & Rec",2020-07-24,-47,53,"Google",101.142857142857
"Greater London","Parks",2020-07-24,45,145,"Google",113.857142857143
"Greater London","Retail & Rec",2020-07-25,-52,48,"Google",96.8571428571429
"Greater London","Parks",2020-07-25,-27,73,"Google",99.4285714285714
"Greater London","Retail & Rec",2020-07-26,-46,54,"Google",83.4285714285714
"Greater London","Parks",2020-07-26,25,125,"Google",93.4285714285714
"Greater London","Retail & Rec",2020-07-27,-44,56,"Google",79.1428571428571
"Greater London","Parks",2020-07-27,11,111,"Google",87.4285714285714
"Greater London","Retail & Rec",2020-07-28,-43,57,"Google",74.8571428571429
"Greater London","Parks",2020-07-28,49,149,"Google",89.2857142857143
"Greater London","Retail & Rec",2020-07-29,-42,58,"Google",87.1428571428571
"Greater London","Parks",2020-07-29,65,165,"Google",103
"Greater London","Retail & Rec",2020-07-30,-41,59,"Google",93.5714285714286
"Greater London","Parks",2020-07-30,75,175,"Google",110.571428571429
"Greater London","Retail & Rec",2020-07-31,-46,54,"Google",102.428571428571
"Greater London","Parks",2020-07-31,55,155,"Google",116.428571428571
"Greater London","Retail & Rec",2020-08-01,-49,51,"Google",102.428571428571
"Greater London","Parks",2020-08-01,26,126,"Google",112.142857142857
"Greater London","Retail & Rec",2020-08-02,-44,56,"Google",96.5714285714286
"Greater London","Parks",2020-08-02,49,149,"Google",109.428571428571
"Greater London","Retail & Rec",2020-08-03,-35,65,"Google",93.7142857142857
"Greater London","Parks",2020-08-03,61,161,"Google",109
"Greater London","Retail & Rec",2020-08-04,-36,64,"Google",96
"Greater London","Parks",2020-08-04,54,154,"Google",110.714285714286
"Greater London","Retail & Rec",2020-08-05,-36,64,"Google",101.857142857143
"Greater London","Parks",2020-08-05,55,155,"Google",116
"Greater London","Retail & Rec",2020-08-06,-42,58,"Google",103
"Greater London","Parks",2020-08-06,57,157,"Google",116.142857142857
"Greater London","Retail & Rec",2020-08-07,-46,54,"Google",100.857142857143
"Greater London","Parks",2020-08-07,44,144,"Google",112.285714285714
"Greater London","Retail & Rec",2020-08-08,-49,51,"Google",97.5714285714286
"Greater London","Parks",2020-08-08,23,123,"Google",106
"Greater London","Retail & Rec",2020-08-09,-45,55,"Google",91.7142857142857
"Greater London","Parks",2020-08-09,45,145,"Google",104.142857142857
"Greater London","Retail & Rec",2020-08-10,-32,68,"Google",91.4285714285714
"Greater London","Parks",2020-08-10,59,159,"Google",106.428571428571
"Greater London","Retail & Rec",2020-08-11,-35,65,"Google",95.1428571428571
"Greater London","Parks",2020-08-11,46,146,"Google",108.714285714286
"Greater London","Retail & Rec",2020-08-12,-36,64,"Google",100.285714285714
"Greater London","Parks",2020-08-12,37,137,"Google",112
"Greater London","Retail & Rec",2020-08-13,-43,57,"Google",99.4285714285714
"Greater London","Parks",2020-08-13,23,123,"Google",107.285714285714
"Greater London","Retail & Rec",2020-08-14,-45,55,"Google",92.4285714285714
"Greater London","Parks",2020-08-14,0,100,"Google",97.4285714285714
"Greater London","Retail & Rec",2020-08-15,-48,52,"Google",84
"Greater London","Parks",2020-08-15,-19,81,"Google",86.4285714285714
"Greater London","Retail & Rec",2020-08-16,-44,56,"Google",74.8571428571429
"Greater London","Parks",2020-08-16,12,112,"Google",82.7142857142857
"Greater London","Retail & Rec",2020-08-17,-30,70,"Google",75.1428571428571
"Greater London","Parks",2020-08-17,27,127,"Google",85.4285714285714
"Greater London","Retail & Rec",2020-08-18,-31,69,"Google",81
"Greater London","Parks",2020-08-18,35,135,"Google",92.8571428571429
"Greater London","Retail & Rec",2020-08-19,-38,62,"Google",90.1428571428571
"Greater London","Parks",2020-08-19,-22,78,"Google",93.2857142857143
"Greater London","Retail & Rec",2020-08-20,-38,62,"Google",86.1428571428571
"Greater London","Parks",2020-08-20,61,161,"Google",99.1428571428571
