"merged_age_range","date","total"
"25 to 64",2020-03-28,0.0712613791234269
"25 to 64",2020-03-29,0.0673444366089538
"25 to 64",2020-03-30,0.102284462992721
"25 to 64",2020-03-31,0.112705665573551
"25 to 64",2020-04-01,0.10789968388291
"25 to 64",2020-04-02,0.10802893736617
"25 to 64",2020-04-03,0.115739188628519
"25 to 64",2020-04-04,0.0737868797920127
"25 to 64",2020-04-05,0.0710736805868654
"25 to 64",2020-04-06,0.108279576729363
"25 to 64",2020-04-07,0.121109389872179
"25 to 64",2020-04-08,0.115671752028557
"25 to 64",2020-04-09,0.109293373615462
"25 to 64",2020-04-10,0.0756189074243201
"25 to 64",2020-04-11,0.0701194526973998
"25 to 64",2020-04-12,0.0663351354961857
"25 to 64",2020-04-13,0.0763146283472638
"25 to 64",2020-04-14,0.111316471614329
"25 to 64",2020-04-15,0.112582031806954
"25 to 64",2020-04-16,0.109037114535606
"25 to 64",2020-04-17,0.103475842925387
"25 to 64",2020-04-18,0.0768181549603152
"25 to 64",2020-04-19,0.0722077394095637
"25 to 64",2020-04-20,0.112070637590574
"25 to 64",2020-04-21,0.117757790854056
"25 to 64",2020-04-22,0.120414792892568
"25 to 64",2020-04-23,0.126163763039348
"25 to 64",2020-04-24,0.112448282550362
"25 to 64",2020-04-25,0.0799146188419145
"25 to 64",2020-04-26,0.0742892824617313
"25 to 64",2020-04-27,0.112894488053446
"25 to 64",2020-04-28,0.111696364460783
"25 to 64",2020-04-29,0.113650901916355
"25 to 64",2020-04-30,0.110747756287981
"25 to 64",2020-05-01,0.115736940741854
"25 to 64",2020-05-02,0.0828222602436195
"25 to 64",2020-05-03,0.0781500278095693
"25 to 64",2020-05-04,0.117825227454018
"25 to 64",2020-05-05,0.119146984813278
"25 to 64",2020-05-06,0.116627103861355
"25 to 64",2020-05-07,0.122753718967925
"25 to 64",2020-05-08,0.0877496278141935
"25 to 64",2020-05-09,0.0761909945806664
"25 to 64",2020-05-10,0.0709466749902699
"25 to 64",2020-05-11,0.116679929197993
"25 to 64",2020-05-12,0.121739922081826
"25 to 64",2020-05-13,0.109103427192235
"25 to 64",2020-05-14,0.113402510439828
"25 to 64",2020-05-15,0.114412935495929
"25 to 64",2020-05-16,0.0831347164901112
"25 to 64",2020-05-17,0.0792852105756003
"25 to 64",2020-05-18,0.126730230479031
"25 to 64",2020-05-19,0.122499707774733
"25 to 64",2020-05-20,0.126104194042715
"25 to 64",2020-05-21,0.122559276771367
"25 to 64",2020-05-22,0.115296354955434
"25 to 64",2020-05-23,0.0826997504203548
"25 to 64",2020-05-24,0.0768810957869466
