Borough,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
Hillingdon,2021-01-08,-57.857142857142854,-19.0,24.714285714285715,-72.42857142857143,-48.0,21.142857142857142
Hillingdon,2021-01-09,-58.285714285714285,-18.857142857142858,23.857142857142858,-71.85714285714286,-47.142857142857146,21.0
Hillingdon,2021-01-10,-58.857142857142854,-19.142857142857142,21.857142857142858,-71.71428571428571,-47.857142857142854,21.142857142857142
Hillingdon,2021-01-11,-59.57142857142857,-20.0,24.714285714285715,-71.71428571428571,-48.142857142857146,21.142857142857142
Hillingdon,2021-01-12,-59.857142857142854,-20.428571428571427,27.142857142857142,-71.85714285714286,-48.285714285714285,21.142857142857142
Hillingdon,2021-01-13,-60.285714285714285,-21.285714285714285,22.428571428571427,-72.0,-48.57142857142857,21.142857142857142
Hillingdon,2021-01-14,-61.0,-22.571428571428573,15.0,-72.14285714285714,-48.857142857142854,21.285714285714285
Hillingdon,2021-01-15,-60.857142857142854,-22.428571428571427,18.0,-72.28571428571429,-49.142857142857146,21.142857142857142
Hillingdon,2021-01-16,-61.0,-23.0,13.142857142857142,-72.85714285714286,-49.42857142857143,21.142857142857142
Hillingdon,2021-01-17,-60.42857142857143,-23.142857142857142,20.285714285714285,-73.0,-49.857142857142854,21.0
Hillingdon,2021-01-18,-60.57142857142857,-23.285714285714285,20.714285714285715,-73.42857142857143,-49.857142857142854,21.0
Hillingdon,2021-01-19,-60.57142857142857,-23.428571428571427,19.428571428571427,-73.71428571428571,-49.857142857142854,20.857142857142858
Hillingdon,2021-01-20,-60.714285714285715,-23.857142857142858,18.571428571428573,-74.0,-49.857142857142854,20.857142857142858
Hillingdon,2021-01-21,-59.857142857142854,-22.571428571428573,27.285714285714285,-74.28571428571429,-49.57142857142857,20.571428571428573
Hillingdon,2021-01-22,-59.714285714285715,-22.285714285714285,29.714285714285715,-74.28571428571429,-49.42857142857143,20.428571428571427
Hillingdon,2021-01-23,-59.0,-21.428571428571427,35.714285714285715,-74.57142857142857,-49.0,20.285714285714285
Hillingdon,2021-01-24,-60.285714285714285,-23.142857142857142,36.42857142857143,-75.14285714285714,-49.42857142857143,20.428571428571427
Hillingdon,2021-01-25,-60.285714285714285,-23.0,35.142857142857146,-75.14285714285714,-49.57142857142857,20.428571428571427
Hillingdon,2021-01-26,-60.285714285714285,-22.714285714285715,32.285714285714285,-75.28571428571429,-49.57142857142857,20.428571428571427
Hillingdon,2021-01-27,-59.42857142857143,-21.571428571428573,36.57142857142857,-75.14285714285714,-49.42857142857143,20.285714285714285
Hillingdon,2021-01-28,-59.142857142857146,-21.142857142857142,35.57142857142857,-75.0,-49.42857142857143,20.285714285714285
